,0
1277,527
1278,491
1279,537
1280,573
1281,526
1282,487
1283,487
1284,504
1285,500
1286,523
1287,506
1288,498
1289,498
1290,498
1291,517
1292,492
1293,514
1294,523
1295,523
1296,505
1297,523
1298,505
1299,527
1300,500
1301,504
1302,522
1303,501
1304,495
1305,528
1306,498
1307,524
1308,516
1309,496
1310,515
1311,487
1312,502
1313,528
1314,528
1315,498
1316,462
1317,522
1318,547
1319,510
1320,515
1321,529
1322,532
1323,532
1324,505
1325,528
1326,510
1327,498
1328,488
1329,481
1330,506
1331,539
1332,539
1333,520
1334,524
1335,487
1336,519
1337,511
1338,487
1339,506
1340,522
1341,523
1342,511
1343,517
1344,515
1345,537
1346,516
1347,496
1348,495
1349,499
1350,520
1351,522
1352,515
1353,523
1354,485
1355,497
1356,493
1357,489
1358,532
1359,505
1360,522
1361,506
1362,511
1363,498
1364,528
1365,495
1366,528
1367,520
1368,492
1369,495
1370,520
1371,506
1372,476
1373,491
1374,558
1375,499
1376,554
1377,495
1378,507
1379,491
1380,439
1381,499
1382,532
1383,504
1384,511
1385,522
1386,474
1387,501
1388,504
1389,511
1390,493
1391,522
1392,522
1393,550
1394,516
1395,511
1396,522
1397,487
1398,469
1399,537
1400,516
1401,485
1402,537
1403,522
1404,502
1405,523
1406,510
1407,528
1408,495
1409,416
1410,500
1411,532
1412,523
1413,501
1414,513
1415,498
1416,522
1417,506
1418,515
1419,499
1420,529
1421,516
1422,522
1423,460
1424,481
1425,502
1426,528
1427,529
1428,491
1429,505
1430,495
1431,516
1432,491
1433,497
1434,481
1435,495
1436,497
1437,499
1438,498
1439,515
1440,534
1441,532
1442,523
1443,498
1444,507
1445,493
1446,532
1447,488
1448,529
1449,452
1450,522
1451,523
1452,490
1453,529
1454,532
1455,505
1456,523
1457,529
1458,528
1459,492
1460,493
1461,487
1462,517
1463,504
